Unnamed: 0,Tweets,ID,Sentiment
0,"RT @EmekaGift: Nigerian soldiers laments of Boko Haram ambush, accused Tukur Yusuf Buratai the Nigerian military chief of  sabotage. @SecPo…",1347483803195994112,-1
1,@ASPD9 @syerodriguez @Femi_Sorry @realDonaldTrump Again a bit harsh I saw a report stating that a court demanded vo… https://t.co/Z7zQnjWqx3,1347483801912549376,-1
2,@rlbk2009 @stacyparnell4 @donnalove0 @realDonaldTrump And once again - the moment you are presenting real data and… https://t.co/yC9nbOT4aw,1347483801744654342,1
3,@gtconway3d @realDonaldTrump This is precisely why there is real danger in letting him hold power even a few days l… https://t.co/7Fc59ur5Z5,1347483801551859712,1
4,@lovemydogtippy @antonia_santoyo @realDonaldTrump Or maybe white neo nazis lol? It’s not like I would have any proof tho,1347483800050126851,1
5,"RT @VMaledew: .

I'M CONFUSED?

CAN SOMEONE TELL ME HOW @realDonaldTrump 

CAN GAIN TEN MILLION VOTES

AND STILL LOSE? 🤔

.",1347483798229946368,-1
6,"RT @bellboy905: @KHOU @tedcruz “I actually won Iowa. And if the Republican Party had any guts, they would have terminated Cruz from that el…",1347483798145912839,0
7,@realDonaldTrump This is deepfake,1347483796850024448,0
8,"@madamex1999 @costellomick67 @Kenny_Sowellfan @realDonaldTrump I know this, I'd rather have remnants of socialist p… https://t.co/FBTLCcLApr",1347483796329869312,0
9,@SexCounseling @realDonaldTrump I thought doctors are supposed to be smart people,1347483794970996741,1
10,"@acastef53 @realDonaldTrump TRUMP CONTRA EL DEEP STATE""MATRIX""
GOD BLESS AMERIKA 
GOD BLESS TRUMP
WACHT YOU TV
ORWE… https://t.co/fsPFR7D0O6",1347483794400489473,0
11,@JoyWood84120394 @realistic_view @SpeakerPelosi @realDonaldTrump I say #45 purposely lied to get the people riled u… https://t.co/yZJaN4wHo0,1347483793737789440,0
12,RT @USRepMikeDoyle: I have cosponsored articles of impeachment against @realDonaldTrump. He demonstrated yesterday that every day he’s Pres…,1347483792538218496,0
13,Whatsup with THE WALL☺@joeBiden @realDonaldTrump,1347483792160788480,0
14,RT @jackisfag: @realDonaldTrump You turned out to be spineless. No backbone whatsoever!! So many who supported you were persecuted and and…,1347483792060067842,1
15,"RT @NancarrowTrisha: @TomiLahren @realDonaldTrump Yes we did get our way. We own the house, the senate and the presidency. You know what th…",1347483791519051777,1
16,"RT @ProjectLincoln: We elected them to protect us, they betrayed us.

The leaders of the Capitol terrorist attack: @realDonaldTrump @Hawley…",1347483789279301632,0
17,RT @JayLionel7: @realDonaldTrump Arsonist blames fire.,1347483789182849025,0
18,"@dotjenna @kathleen_dunk @realDonaldTrump People are doxing you, they have your work number and stuff.",1347483787429634048,0
19,"PLEASE WORLD #IMPEACH @realDonaldTrump Forever, and please Witches let's hex that Ass-Shaman. In french Q means ass… https://t.co/5ya1xPDqju",1347483786536226816,0
20,RT @BernardKerik: President @realDonaldTrump supporters pulling Antifa terrorists away from building. There’s plenty of these videos. Why i…,1347483786343186432,0
21,@PRINCES08802366 @Johnny___Apollo @realDonaldTrump No I mean George Floyd was not a trafficker or criminal,1347483783331782656,-1
22,@re5iGam @VanDexter7 @realDonaldTrump Trump had red!,1347483780236378112,0
23,@realDonaldTrump Heat’s on huh? People died you wanker.,1347483779724693504,0
24,RT @tedlieu: Every single #MAGA rioter who committed a felony in relation to the death of the US Capitol police officer can be charged with…,1347483777002569728,-1
25,"RT @SaraCarterDC: The bureaucrats, their media friends and the censorship overlords play everyone. Where is John Durham’s report? Why did A…",1347483775647830017,0
26,RT @realDonaldTrump: Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!,1347483775291240450,1
27,@realDonaldTrump @sendavidperdue Trump released a second video message on Twitter on Thursday in which he condemned… https://t.co/QMMnuGpcFj,1347483774678925312,0
28,RT @IvankaTrump: “This moment calls for healing and reconciliation. We must revitalize the sacred bonds that bind us together as one nation…,1347483773202534400,0
29,"RT @murray_nyc: @realDonaldTrump What a shameful &amp; embarrassing display:

1) That the president of the USA is holding another super-spreade…",1347483771940052992,1
30,RT @tracygirl58: @RaheemKassam @realDonaldTrump fought harder for the American people than any President in my lifetime. His resolve is inf…,1347483771889704960,-1
31,"@spatchcook @cynthiaboaz @starbalt @realjunsonchan @realDonaldTrump Watch the social dilemma, there is no way in 20… https://t.co/18bOl6Q9jH",1347483771742916608,1
32,@borderman67 @BorisJohnson @realDonaldTrump Do you even have a job?,1347483771726143491,0
33,@IvankaTrump @realDonaldTrump Orange is definitely the new Black,1347483770962780162,-1
34,@realDonaldTrump Wym only just beginning ?😭,1347483769872244737,0
35,RT @johnsweeneyroar: At the BBC I was taken aside by a senior manager and told off for the tone of my tweets critical of @realDonaldTrump.…,1347483769746452480,0
36,@dudibrasil @murray_nyc @CheriJacobus @realDonaldTrump You found him!,1347483768064393217,0
